"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 12:38:31 EET 2022","Mon Dec 05 12:38:40 EET 2022","8647","webkit","","test cases for redmine.org","","","3) enter search page",""
"passed","Mon Dec 05 12:38:18 EET 2022","Mon Dec 05 12:38:31 EET 2022","12978","webkit","","test cases for redmine.org","","","1) enter login page, enter NAME, password and take screenshot",""
"passed","Mon Dec 05 12:37:56 EET 2022","Mon Dec 05 12:38:08 EET 2022","11574","firefox","","test cases for redmine.org","","","1) enter login page, enter NAME, password and take screenshot",""
"passed","Mon Dec 05 12:38:15 EET 2022","Mon Dec 05 12:38:21 EET 2022","6362","firefox","","test cases for redmine.org","","","5) Enter empty login and check message",""
"passed","Mon Dec 05 12:38:40 EET 2022","Mon Dec 05 12:38:48 EET 2022","7865","webkit","","test cases for redmine.org","","","5) Enter empty login and check message",""
"passed","Mon Dec 05 12:37:57 EET 2022","Mon Dec 05 12:38:09 EET 2022","11432","firefox","","test cases for redmine.org","","","2) enter question page and return to home page",""
"passed","Mon Dec 05 12:37:42 EET 2022","Mon Dec 05 12:37:47 EET 2022","4973","chromium","","test cases for redmine.org","","","1) enter login page, enter NAME, password and take screenshot",""
"passed","Mon Dec 05 12:37:49 EET 2022","Mon Dec 05 12:37:54 EET 2022","4847","chromium","","test cases for redmine.org","","","4) go to feature page and have title",""
"failed","Mon Dec 05 12:38:09 EET 2022","Mon Dec 05 12:38:16 EET 2022","7801","firefox","","test cases for redmine.org","","","4) go to feature page and have title",""
"passed","Mon Dec 05 12:37:52 EET 2022","Mon Dec 05 12:37:55 EET 2022","3674","chromium","","test cases for redmine.org","","","5) Enter empty login and check message",""
"passed","Mon Dec 05 12:37:47 EET 2022","Mon Dec 05 12:37:52 EET 2022","4544","chromium","","test cases for redmine.org","","","3) enter search page",""
"passed","Mon Dec 05 12:38:24 EET 2022","Mon Dec 05 12:38:35 EET 2022","11311","webkit","","test cases for redmine.org","","","2) enter question page and return to home page",""
"passed","Mon Dec 05 12:37:42 EET 2022","Mon Dec 05 12:37:49 EET 2022","6859","chromium","","test cases for redmine.org","","","2) enter question page and return to home page",""
"passed","Mon Dec 05 12:38:08 EET 2022","Mon Dec 05 12:38:15 EET 2022","7030","firefox","","test cases for redmine.org","","","3) enter search page",""
"passed","Mon Dec 05 12:38:35 EET 2022","Mon Dec 05 12:38:45 EET 2022","9377","webkit","","test cases for redmine.org","","","4) go to feature page and have title",""
